Timestamp,What is your GPA,influenced on problem-solving skills,decline in academic/work performance,negative effects on social interactions and relationships?,positive impacts of gaming,Impact Level
2024/03/07 4:33:16 PM GMT+2,1.85,2,Yes,Frequently,Yes,5
2024/03/07 3:35:57 PM GMT+2,2,3,Yes,Rarely or never,Yes,4
2024/03/07 4:32:05 PM GMT+2,2,5,Yes,Frequently,Yes,5
2024/03/07 6:39:25 PM GMT+2,2,2,Yes,Very frequently,No,5
2024/03/08 1:07:19 PM GMT+2,2.13,2,Yes,Rarely or never,Yes,3
2024/03/07 3:50:29 PM GMT+2,2.3,1,No,Rarely or never,No,1
2024/03/08 9:51:48 AM GMT+2,2.35,1,No,Rarely or never,No,1
2024/03/07 7:21:18 PM GMT+2,2.39,3,Yes,Frequently,Yes,4
2024/03/07 4:03:21 PM GMT+2,2.4,3,No,Occasionally,Yes,3
2024/03/07 3:40:15 PM GMT+2,2.5,5,Yes,Frequently,Yes,5
2024/03/07 4:46:30 PM GMT+2,2.55,4,Yes,Frequently,No,5
2024/03/07 5:16:50 PM GMT+2,2.58,4,Yes,Rarely or never,Yes,3
2024/03/08 9:47:22 AM GMT+2,2.58,3,Yes,Frequently,,5
2024/03/08 11:30:23 AM GMT+2,2.58,1,No,Rarely or never,Yes,1
2024/03/07 6:05:21 PM GMT+2,2.6,4,Yes,Occasionally,Yes,3
2024/03/08 2:31:24 PM GMT+2,2.6,4,No,Rarely or never,Yes,3
2024/03/07 3:43:21 PM GMT+2,2.69,3,Yes,Rarely or never,Yes,3
2024/03/07 3:44:54 PM GMT+2,2.7,2,No,Frequently,Yes,2
2024/03/07 3:43:00 PM GMT+2,2.9,4,No,Frequently,Yes,3
2024/03/08 11:15:14 AM GMT+2,2.91,3,Yes,Occasionally,Yes,4
2024/03/07 4:19:28 PM GMT+2,3,3,No,Frequently,Yes,4
2024/03/07 3:40:57 PM GMT+2,3.1,5,No,Frequently,Yes,3
2024/03/07 5:58:29 PM GMT+2,3.3,3,Yes,Rarely or never,Yes,3
2024/03/07 3:59:42 PM GMT+2,3.54,3,No,Rarely or never,Yes,2
2024/03/07 3:47:01 PM GMT+2,3.6,4,No,Frequently,No,5
2024/03/08 9:20:17 PM GMT+2,3.68,5,No,Occasionally,Yes,4
2024/03/08 8:56:36 AM GMT+2,3.7,3,No,Occasionally,No,1
2024/03/08 10:19:37 AM GMT+2,3.8,1,Yes,Occasionally,Yes,1
2024/03/07 5:29:36 PM GMT+2,3.81,1,No,Frequently,No,1
2024/03/08 11:31:12 AM GMT+2,3.86,1,Yes,Frequently,No,2
2024/03/07 5:21:59 PM GMT+2,3.91,4,No,Rarely or never,Yes,3
2024/03/07 3:36:39 PM GMT+2,3.92,3,Yes,Rarely or never,Yes,2
2024/03/08 11:52:54 AM GMT+2,,2,No,Rarely or never,No,1
